S0_0,S0_1,S0_2,S0_3,S0_4,S0_5,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,T,price,rho_greek,theta,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,gamma_0,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,vega_0,vega_1,vega_2,vega_3,vega_4,vega_5
135.17103990723396,49.00917473518287,70.93650607554093,147.60385791071616,208.10100806986597,250.76919496298368,0.5975342183870899,0.4333011258648468,0.23900026932926022,0.6398041828909706,0.23676564731028893,0.008805254515077632,4.063492063492063,57.57890616076877,299.78530911337685,3.2240930580452924,0.17006254005032492,0.15659240396843058,0.14660053287695338,0.16198873833516736,0.15110092249192003,0.13932514959051473,1.1666595719860008e-10,2.958253757390505e-10,1.0624842255900737e-05,3.261330306785244e-11,0.00022670670392185125,0.00044881244654454243,5.546908238597567,1.6115529205907784,2.5236172938268275,2.056749946152209,9.195742347694527,12.036116037709986
267.15853102671724,107.38159405177608,143.3889563396324,130.43021065310927,279.9879360955851,355.7835179196975,0.3500290649055665,0.8628433234146519,0.13046627511853592,0.6390318780852128,0.2730844756913712,0.5271746220517312,5.432539682539683,137.87027349086586,405.35278748251847,4.18205527070976,0.15961017386973336,0.17874189582743966,0.15561717992643245,0.1817954723970574,0.16174758695199576,0.16678229338656328,-3.9820994449937705e-11,-2.464850037690564e-10,0.0,0.0,-3.625530447524755e-11,-2.245321552338516e-11,7.680901946558379,2.990056961387353,10.716025655523891,8.1596142862752,12.5699810462189,11.009075637036744
163.07667200938846,76.79109022758199,393.71122542923456,89.88006434656184,110.87812101996784,83.74968998289513,0.07451641688002464,0.9360484158946866,0.5459163138246939,0.5163089934241154,0.015196873022377377,0.003437750426293684,2.2857142857142856,61.26010632934712,177.38318558067303,3.7667188586964153,0.14033067457702686,0.1636024617090148,0.1589476709715084,0.1534418148559064,0.1391743617457687,0.13868881185490578,0.00012012243651107429,0.0,7.677152262091437e-06,0.0,5.779609397477307e-11,2.026066908348237e-10,3.996623719660636,1.280055846393985,7.2036318789600955,2.0568065613793003,4.727024735929515,4.049993910177245
117.36357064799977,92.94543713923736,261.8525815178389,191.58141961828633,118.01120080230618,168.00917855653665,0.1608586443576815,0.5884326619687137,0.34772853905764345,0.11289280096528354,0.23813974191864884,0.47457073036751163,0.4801587301587302,60.00161356492463,47.269223256124135,3.339383950317004,0.16677006537925082,0.1671499899013419,0.16678942830539029,0.16647607493286906,0.16653497272196532,0.16735449348484951,5.1585016753706287e-11,0.0,2.0725569825471693e-11,1.9359022727046027e-11,5.102038657088368e-11,0.0,0.2534801754286864,0.10697145136738673,0.2422279796237632,0.044022587144254555,0.04790868382663227,0.35060520731902756
172.9175433466095,53.798001845503485,195.37506347081546,116.23448714743061,38.01668517099645,284.21617097183446,0.6560805738320898,0.28781469104401214,0.3393271016825943,0.1626984983208173,0.5237259683709662,0.37240875374918125,4.861111111111111,67.80702064941103,305.0685042622572,4.962182630961438,0.1701505400215847,0.1284746644459186,0.14758899582612345,0.14064771120843475,0.150809517041187,0.15239693926249465,2.8706514374195553e-05,0.00041628282420408966,0.0002081556881791143,0.00032920505908862424,0.0005767945777310758,0.00016154325069051522,17.1547233413433,2.297327884934969,15.567874611453213,13.877900953713345,1.5618291005754656,25.952023331541028
185.91680156022957,130.057900855216,186.31333653072056,94.04622179506964,110.04595632167292,117.18036872706212,0.4122079508290496,0.48853811031534033,0.16005503696298695,0.027829375883768104,0.3416220494437656,0.38202756893781875,0.4801587301587302,38.89547905298644,46.25006838583985,3.84902402683516,0.1648053511069143,0.16472531675000618,0.16362407558568176,0.16290372696725663,0.16447596523289726,0.16426198927629634,-4.1113355239390385e-11,-4.200652185872107e-11,0.0,0.0,-5.867350411473529e-11,-5.1746440749641157e-11,0.7563657417937737,0.40273171827321885,0.8012505156891656,0.12216251678231138,0.43061304276819534,0.3507608431786231
206.16369616423444,202.13719264648003,265.54133503504846,171.53283568008456,405.7007407907953,216.13874402432037,0.5408848315285244,0.8319758503177797,0.300837129868071,0.06547913314741116,0.6336205287851278,0.730800613045803,7.0,174.89415681313102,424.9136656325454,3.5134751960392023,0.16388103718033237,0.17090058447183826,0.1525842256391005,0.13137230581196996,0.16660849166997227,0.16942428748140853,-6.686915135897256e-11,5.016089493999336e-05,0.00010839575104852319,0.0002652372557328649,0.0,-6.083940361564458e-11,8.946487090190573,1.0863277881726674,18.217473648229458,16.416680584052557,15.248364608449094,2.372597644157537
61.95092710418357,212.67224153553767,101.51117277806476,181.18439269966535,171.4031121441143,309.39509562848315,0.9824321680242151,0.400974137448578,0.6535421390622504,0.3399305554642481,0.1476555258127017,0.7547282090618376,0.003968253968253968,73.04178854576408,0.39677815851858683,5.347549077059909,0.16662716063977834,0.16666288129695614,0.16672875829349748,0.1666826488117372,0.1666686702631475,0.1666799329523026,3.7027516094369333e-10,6.283890058585365e-11,2.7581793619204997e-10,0.0,9.674149376327541e-11,2.969089879959302e-11,-0.0016378587170779932,-0.0008987042263846334,0.012998471806318426,0.009821670290563675,0.0033086520104301347,0.010972615922004353
140.8009551681349,225.67766420538783,121.06402735097146,161.36589995819932,209.3065444052679,428.29102348904723,0.7069654703588821,0.6808197156229311,0.27191940792707203,0.4610623986764335,0.1050889690913307,0.0845183015263522,2.6825396825396823,124.85426755612724,247.42097797981552,3.6491188788726,0.17290976436765132,0.1711339998344065,0.16629072167052522,0.17083712815594895,0.1674319519745121,0.16665636987474164,1.4336363140148474e-10,5.5804990532902226e-11,9.69594102125211e-11,5.457536771896464e-11,6.487607687867214e-11,0.0,2.1242728249897738,2.6071564818666815,-0.14995511907933867,2.586481755093054,2.6190759475917424,0.340433737418639
262.55292786195446,133.21002374213975,410.03637541582253,249.6640877745182,200.1968005015522,117.47251660585727,0.4446107745230976,0.36666842278703415,0.9294041996488015,0.053933987195970756,0.19560640489945147,0.37504008608704165,4.861111111111111,148.0414990168421,380.6108773050248,4.0309356844439925,0.16304681664583937,0.16248597817426863,0.1770726366541874,0.15272417306815456,0.15959071455048948,0.16344163145757687,-4.123029704878035e-11,-3.203364654887297e-10,-3.380924083691997e-11,2.6586852801667126e-05,-2.1274393360802748e-10,-6.178725542873699e-10,1.7721380622103737,2.188696249189057,13.070877014804921,7.695065578426117,6.551440753195237,2.4474851453827426
